,,,,,,,,,,
Type(number),Type (file name),Date,Authors (full name),Authors (initials),Title,Reference (text),Link (text),Link (http),2nd Link (text),2nd Link (http)
4,galaxy and structure formation,2018-08-20,"Adam Smercina, Eric F. Bell, Paul A. Price, Richard D'Souza, Colin T. Slater, Jeremy Ballin, Antonela Monachesi, David Nidever","A. Smercina, E.F. Bell, P.A. Price, R. D'Souza, C.T. Slater, J. Ballin, A. Monachesi, D. Nidever",A Lonely Giant: The Sparse Satellite Population of M94 Challenges Galaxy Formation,"The Astrophysical Journal, 863, 152, 2018",doi: 10.3847/1538-4357/aad2d6,https://doi.org/10.3847/1538-4357/aad2d6,arXiv:1807.03779,https://arxiv.org/abs/1807.03779
6,cosmology,2017-01-20,David Merritt,D. Merritt,Cosmology and convention,"Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics 57, p. 41, February 2017",doi: 10.1016/j.shpsb.2016.12.002,https://doi.org/10.1016/j.shpsb.2016.12.002,arXiv:1703.02389,https://arxiv.org/abs/1703.02389
4,galaxy and structure formation,2018-11-21,"Stacy Y. Kim, Annika H. G. Peter, Jonathan R. Hargis","S.Y. Kim, A.H.G. Peter, J.R. Hargis",There is No Missing Satellites Problem,"Phys. Rev. Lett. 121, 211302 (2018)",doi: 10.1103/PhysRevLett.121.211302,https://doi.org/10.1103/PhysRevLett.121.211302,arXiv:1711.06267,https://arxiv.org/abs/1711.06267
4,galaxy and structure formation,2018-11-29,"Tyler Kelley, James S. Bullock, Shea Garrison-Kimmel, Michael Boylan-Kolchin, Marcel S. Pawlowski, Andrew S. Graus","T. Kelley, J.S. Bullock, S. Garrison-Kimmel, M. Boylan-Kolchin, M.S. Pawlowski, A.S. Graus",Phat ELVIS: The inevitable effect of the Milky Way's disk on its dark matter subhaloes,Submitted to MNRAS,arXiv:1811.12413,https://arxiv.org/abs/1811.12413,,
4,galaxy and structure formation,2018-11-05,"M. Brightman, M. Baloković, M. Koss, D. M. Alexander, A. Annuar, H. Earnshaw, P. Gandhi, F. A. Harrison, A. E. Hornschemeier, B. Lehmer, M. C. Powell, A. Ptak, B. Rangelov, T. P. Roberts, D. Stern, D. J. Walton, A. Zezas","M. Brightman, M. Baloković, M. Koss, D.M. Alexander, A. Annuar, H. Earnshaw, P. Gandhi, F.A. Harrison, A.E. Hornschemeier, B. Lehmer, M.C. Powell, A. Ptak, B. Rangelov, T.P. Roberts, D. Stern, D.J. Walton, A. Zezas",A long hard-X-ray look at the dual active galactic nuclei of M51 with NuSTAR,"The Astrophysical Journal 867, No. 2, 110, 2018",doi: 10.3847/1538-4357/aae1ae,https://doi.org/10.3847%2F1538-4357%2Faae1ae,arXiv:1805.12140,https://arxiv.org/abs/1805.12140
2,microwave-background,2018-08-24,"J. Colin Hill, Eric J. Baxter","J.C. Hill, E.J. Baxter",Can Early Dark Energy Explain EDGES?,"Journal of Cosmology and Astroparticle Physics 2018, No. 08, 037, 2018",doi: 10.1088/1475-7516/2018/08/037,https://doi.org/10.1088/1475-7516/2018/08/037,arXiv:1803.07555,https://arxiv.org/abs/1803.07555
5,old-systems,2019-02-06,"Yoshiki Matsuoka, Masafusa Onoue, Nobunari Kashikawa, Michael A. Strauss, Kazushi Iwasawa, Chien-Hsiu Lee, Masatoshi Imanishi, Tohru Nagao, Masayuki Akiyama, Naoko Asami, James Bosch, Hisanori Furusawa, Tomotsugu Goto, James E. Gunn, Yuichi Harikane, Hiroyuki Ikeda, Takuma Izumi, Toshihiro Kawaguchi, Nanako Kato, Satoshi Kikuta, Kotaro Kohno, Yutaka Komiyama, Shuhei Koyama, Robert H. Lupton, Takeo Minezaki, Satoshi Miyazaki, Hitoshi Murayama, Mana Niida, Atsushi J. Nishizawa, Akatoki Noboriguchi, Masamune Oguri, Yoshiaki Ono, Masami Ouchi, Paul A. Price, Hiroaki Sameshima, Andreas Schulze, Hikari Shirakata, John D. Silverman, Naoshi Sugiyama, Philip J. Tait, Masahiro Takada, Tadafumi Takata, Masayuki Tanaka, Ji-Jia Tang, Yoshiki Toba, Yousuke Utsumi, Shiang-Yu Wang, Takuji Yamashita","Y. Matsuoka, M. Onoue, N. Kashikawa, M.A. Strauss, K. Iwasawa, C.-H. Lee, M. Imanishi, T. Nagao, M. Akiyama, N. Asami, J. Bosch, H. Furusawa, T. Goto, J.E. Gunn, Y. Harikane, H. Ikeda, T. Izumi, T. Kawaguchi, N. Kato, S. Kikuta, K. Kohno, Y. Komiyama, S. Koyama, R.H. Lupton, T. Minezaki, S. Miyazaki, H. Murayama, M. Niida, A.J. Nishizawa, A. Noboriguchi, M. Oguri, Y. Ono, M. Ouchi, P.A. Price, H. Sameshima, A. Schulze, H. Shirakata, J.D. Silverman, N. Sugiyama, P.J. Tait, M. Takada, T. Takata, M. Tanaka, J.-J. Tang, Y. Toba, Y. Utsumi, S.-Yu Wang, T. Yamashita",Discovery of the First Low-luminosity Quasar at z > 7,"The Astrophysical Journal Letters, Volume 872, Number 1, L2, 2019",doi: 10.3847/2041-8213/ab0216,https://doi.org/10.3847/2041-8213/ab0216,,
5,old-systems,2018-11-30,"T. Díaz-Santos, R. J. Assef, A. W. Blain, M. Aravena, D. Stern, C.-W. Tsai, P. Eisenhardt, J. Wu, H. D. Jun, K. Dibert, H. Inami, G. Lansbury, F. Leclercq","T. Díaz-Santos, R.J. Assef, A.W. Blain, M. Aravena, D. Stern, C.-W. Tsai, P. Eisenhardt, J. Wu, H.D. Jun, K. Dibert, H. Inami, G. Lansbury, F. Leclercq",The multiple merger assembly of a hyperluminous obscured quasar at redshift 4.6,"Science, Vol. 362, Issue 6418, p. 1034, 2018",doi: 10.1126/science.aap7605,https://dx.doi.org/10.1126/science.aap7605,arXiv:1811.05992,https://arxiv.org/abs/1811.05992
5,old-systems,2015-02-26,"Xue-Bing Wu, Feige Wang, Xiaohui Fan, Weimin Yi, Wenwen Zuo, Fuyan Bian, Linhua Jiang, Ian D. McGreer, Ran Wang, Jinyi Yang, Qian Yang, David Thompson, Yuri Beletsky","X.-B. Wu, F. Wang, X. Fan, W. Yi, W. Zuo, F. Bian, L. Jiang, I.D. McGreer, R. Wang, J. Yang, Q. Yang, D. Thompson, Y. Beletsky",An ultra-luminous quasar with a twelve-billion-solar-mass black hole at redshift 6.30,"Nature, volume 518, p. 512, 2015",doi: 10.1038/nature14241,https://doi.org/10.1038/nature14241,arXiv:1502.07418,https://arxiv.org/abs/1502.07418
5,old-systems,2016-03-08,"P. A. Oesch, G. Brammer, P. G. van Dokkum, G. D. Illingworth, R. J. Bouwens, I. Labbé, M. Franx, I. Momcheva, M. L. N. Ashby, G. G. Fazio, V. Gonzalez, B. Holden, D. Magee, R. E. Skelton, R. Smit, L. R. Spitler, M. Trenti, S. P. Willner","P.A. Oesch, G. Brammer, P.G. van Dokkum, G.D. Illingworth, R.J. Bouwens, I. Labbé, M. Franx, I. Momcheva, M.L.N. Ashby, G.G. Fazio, V. Gonzalez, B. Holden, D. Magee, R.E. Skelton, R. Smit, L.R. Spitler, M. Trenti, S.P. Willner",A Remarkably Luminous Galaxy at Z = 11.1 Measured with Hubble Space Telescope Grism Spectroscopy,"The Astrophysical Journal, Volume 819, Number 2",doi: 10.3847/0004-637X/819/2/129,https://dx.doi.org/10.3847/0004-637X/819/2/129,arXiv:1603.00461,https://arxiv.org/abs/1603.00461
